Context,Option_A,Option_B,Gold_Label,Phenomenon,Domain,Role_Direction
Context,Option_A,Option_B,Gold_Label,Phenomenon,Domain,Role_Direction
"Junior Employee to Manager: An employee needs to inform their manager that a project deadline cannot be met.","Nu vom termina proiectul la timp.","Din păcate, cred că nu vom putea termina proiectul la timp.","B","Indirectness","Workplace","Junior->Manager"
"Customer to Salesperson: A customer wants to politely decline an offer.","Mulțumesc, dar nu sunt interesat.","Nu, nu cumpăr.","A","Indirectness","Commerce","Customer->Salesperson"
"Student to Professor: A student is politely asking for a delay for an assignment.","M-aș întreba dacă ar fi posibil să predau lucrarea cu o zi mai târziu.","Trebuie să predau lucrarea mai târziu.","A","Indirectness","Education","Student->Professor"
"Friend to Friend (Declining an Invitation): A friend wants to decline an invitation without being rude.","Din păcate, nu pot să vin.","Nu vin.","A","Indirectness","Friends","Friend->Friend"
"Patient to Doctor: A patient is expressing a concern about a prescribed medication.","Sunt un pic îngrijorat în legătură cu efectele secundare.","Nu-mi plac efectele secundare.","A","Indirectness","Healthcare","Patient->Medic"
"Clerk to Citizen: A clerk is informing a citizen that they need to wait longer for a document.","Va dura ceva timp până documentul va fi gata.","Documentul nu-i gata.","A","Indirectness","Administration","Clerk->Citizen"
"Manager to Employee: A manager is giving a new task but wants to frame it as a suggestion.","Ce-ar fi să încerci tu să te ocupi de acest raport?","Ocupă-te tu de acest raport.","A","Indirectness","Workplace","Manager->Employee"
"Parent to Teenager: A parent is suggesting that their child study instead of playing games.","Poate ar trebui să te mai uiți pe la cărți.","Nu te mai juca și învață.","A","Indirectness","Family","Parent->Teenager"
"Professor to Student: A professor is gently critiquing a student's thesis.","Nu sunt pe deplin convins de argumentul tău din această secțiune.","Argumentul tău este greșit.","A","Indirectness","Education","Professor->Student"
"Colleague to Colleague (Refusing a Request): A colleague is refusing to lend money.","Nu-ți dau bani.","Sunt într-o situație dificilă acum, nu cred că te pot ajuta.","B","Indirectness","Workplace","Colleague->Colleague"
"Restaurant Host to Customer: The host is telling a customer that they do not have an open table.","Din păcate, în acest moment nu avem mese libere.","Nu avem mese libere.","A","Indirectness","Services","Host->Customer"
"Family Member to Family Member (Disagreeing): A family member is disagreeing with a suggestion politely.","Nu sunt de acord.","Sunt de părere că am putea aborda situația puțin diferit.","B","Indirectness","Family","Family Member->Family Member"
"Neighbor to Neighbor: One neighbor is asking another to turn down the music.","Ar fi posibil să dai muzica un pic mai încet?","Dă muzica mai încet!","A","Indirectness","Family","Neighbor->Neighbor"
"Buyer to Seller (Bargaining): A buyer is asking for a lower price.","E prea scump, lasă la preț.","Prețul mi se pare un pic cam ridicat, poate putem negocia?","B","Indirectness","Commerce","Buyer->Seller"
"Waiter to Customer (Informing): A waiter is informing a customer that a dish is not available.","Din păcate, specialitatea zilei s-a terminat.","Specialitatea zilei nu mai este.","A","Indirectness","Services","Waiter->Customer"
"Junior to Senior: An employee is trying to suggest a new idea to a senior colleague.","M-aș întreba ce părere ai avea despre o altă abordare.","Avem nevoie de o altă abordare.","A","Indirectness","Workplace","Junior->Senior"
"Citizen to Clerk: A citizen is asking a clerk to speed up a process.","Am nevoie de documentul ăsta mai repede.","M-aș întreba dacă există vreo cale să obțin documentul mai repede.","B","Indirectness","Administration","Citizen->Clerk"
"Doctor to Patient: A doctor is trying to suggest a lifestyle change to a patient.","Nu mai mânca atât de multă sare!","Ar fi bine să mai reduci din consumul de sare.","B","Indirectness","Healthcare","Doctor->Patient"
"Friend to Friend (Requesting a favor): A friend is asking another for a ride home.","Ce zici, m-ai putea duce tu acasă?","Du-mă acasă!","A","Indirectness","Friends","Friend->Friend"
"Professor to Student: A professor is asking a student to resubmit an essay.","Rescrie concluziile.","Cred că ar fi de ajutor să rescrii secțiunea de concluzii.","B","Indirectness","Education","Professor->Student"
"Colleague to Colleague (Giving Feedback): A colleague is giving feedback on a presentation.","Cred că ar fi mai clar dacă ai începe cu slide-ul 5.","Începe cu slide-ul 5.","A","Indirectness","Workplace","Colleague->Colleague"
"Host to Guest at an event: The host is asking a guest to turn down their phone volume.","Poate ar fi mai bine să dai telefonul pe silențios.","Pune telefonul pe silențios.","A","Indirectness","Formal Event","Host->Guest"
