Context,Option_A,Option_B,Gold_Label,Phenomenon,Domain,Role_Direction
"Two students are discussing a test.","Am rezolvat o parte din exerciții.","Am rezolvat toate exercițiile.","A","GCI","Education","Student->Student"
"A father is asking his daughter about her friends.","Toți prietenii mei au venit la petrecere.","Unii dintre prietenii mei au venit la petrecere.","B","GCI","Family","Parent->Child"
"A manager is asking about the team's progress.","Majoritatea rapoartelor au fost finalizate.","Toate rapoartele au fost finalizate.","A","GCI","Workplace","Manager->Employee"
"A client is discussing their recent purchases.","Am cumpărat toate cămășile de la magazinul ăla.","Am cumpărat câteva cămăși de la magazinul ăla.","B","GCI","Commerce","Customer->Customer"
"A doctor is giving a patient information.","În general, pacienții se recuperează bine după operație.","Toți pacienții se recuperează bine după operație.","A","GCI","Healthcare","Medic->Patient"
"A colleague is talking about their morning routine.","Am băut mai multe cafele astăzi.","Am băut toate cafelele din birou astăzi.","A","GCI","Workplace","Colleague->Colleague"
"A teacher is asking a student about a group project.","Toți membrii echipei au contribuit la proiect.","Câțiva membri ai echipei au contribuit la proiect.","B","GCI","Education","Teacher->Student"
"A friend is talking about the food at a party.","Mâncarea a fost, într-adevăr, bună.","Mâncarea a fost excelentă.","A","GCI","Friends","Friend->Friend"
"A waiter is talking about a special dish.","Uneori, clienții comandă această specialitate.","Întotdeauna, clienții comandă această specialitate.","A","GCI","Services","Waiter->Waiter"
"A citizen is describing a group of people.","Unii dintre ei sunt foarte amabili.","Toți sunt foarte amabili.","A","GCI","Administration","Citizen->Citizen"
"A boss is giving instructions.","Încearcă să le termini pe toate.","Încearcă să termini câteva dintre aceste sarcini.","B","GCI","Workplace","Boss->Employee"
"Two friends are talking about a movie.","Am văzut filmul, mi s-a părut interesant.","Am văzut filmul, mi s-a părut extraordinar.","A","GCI","Friends","Friend->Friend"
"A parent is asking a child about a trip.","Ne-am distrat destul de bine la munte.","Ne-am distrat foarte bine la munte.","A","GCI","Family","Parent->Child"
"A manager is commenting on a report.","Această prezentare este, parțial, corectă.","Această prezentare este complet corectă.","A","GCI","Workplace","Manager->Employee"
"A doctor is reviewing a treatment.","Cred că tratamentul ajută în totalitate.","Cred că tratamentul ajută, în mare parte.","B","GCI","Healthcare","Medic->Patient"
"Two students are talking about a lecture.","Am înțeles unele dintre concepte.","Am înțeles toate conceptele.","A","GCI","Education","Student->Student"
"A clerk is describing a difficult client.","A avut o atitudine oribilă.","A avut o atitudine, să zicem, neplăcută.","B","GCI","Administration","Clerk->Clerk"
"A cashier is talking about the morning rush.","Azi am avut mai mulți clienți decât ieri.","Azi am avut cei mai mulți clienți din istoria magazinului.","A","GCI","Commerce","Cashier->Cashier"
"A host is describing the dishes at a formal event.","Toate felurile de mâncare conțin gluten.","Unele feluri de mâncare conțin gluten.","B","GCI","Formal Event","Host->Guest"
"A boss is giving feedback to a subordinate.","Sugestia ta a fost, în parte, utilă.","Sugestia ta a fost extrem de utilă.","A","GCI","Workplace","Boss->Employee"
"A teacher is talking to parents.","Copilul dumneavoastră participă destul de activ la ore.","Copilul dumneavoastră participă foarte activ la ore.","A","GCI","Education","Teacher->Parent"
"A friend is describing a recent trip.","Am văzut câteva peisaje frumoase.","Am văzut toate peisajele frumoase.","A","GCI","Friends","Friend->Friend"
"A patient is describing their symptoms.","Simt întotdeauna o durere aici.","Simt uneori o durere aici.","B","GCI","Healthcare","Patient->Medic"
"A colleague is talking about a software update.","Mulți oameni au primit deja actualizarea.","Toți oamenii au primit deja actualizarea.","A","GCI","Workplace","Colleague->Colleague"
"A son is talking about his parents.","Tata este, de regulă, la birou la ora asta.","Tata este întotdeauna la birou la ora asta.","A","GCI","Family","Child->Parent"
"A customer is giving feedback on a product.","E destul de bun.","E foarte bun.","A","GCI","Commerce","Customer->Salesperson"
"A boss is asking a manager about a team.","Unii dintre ei au terminat proiectul?","Toți au terminat proiectul?","A","GCI","Workplace","Boss->Manager"
"A friend is talking about a concert.","Am văzut câteva trupe bune.","Am văzut toate trupele bune.","A","GCI","Friends","Friend->Friend"
"A student is describing a classmate.","Maria este inteligentă, dar, de multe ori, greșește la teste.","Maria este inteligentă și nu greșește niciodată.","A","GCI","Education","Student->Student"
"A doctor is giving advice.","În general, somnul este important.","Întotdeauna somnul este important.","A","GCI","Healthcare","Medic->Patient"
"A waiter is talking about their shift.","Am servit toți clienții din oraș.","Am servit mai mulți clienți astăzi.","B","GCI","Services","Waiter->Waiter"
"A clerk is informing a citizen about a process.","Toate formularele necesită o semnătură suplimentară.","Unele formulare necesită o semnătură suplimentară.","B","GCI","Administration","Clerk->Citizen"
"A parent is asking a child about a task.","Ai făcut majoritatea temelor?","Ai făcut toate temele?","A","GCI","Family","Parent->Child"
"A sales manager is asking about a sales report.","Câțiva dintre vânzători au atins targetul.","Toți vânzătorii au atins targetul.","A","GCI","Commerce","Manager->Employee"
